{{Mod
|id                               = DamageAgainstBleedingEnemiesUnique__1
|mod_groups                       = DamageAgainstBleedingEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageAgainstBleedingEnemies
|stat_text                        = (40-50)% increased Damage with [[Hit|Hits]] and Ailments against Bleeding Enemies
|stat1_id                         = hit_and_ailment_damage_+%_vs_bleeding_enemies
|stat1_min                        = 40
|stat1_max                        = 50
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
