{{Mod
|id                               = SupportedByIntensifyUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = SupportedByIntensify
|granted_skill                    = SupportIntensify
|mod_type                         = SupportedByIntensify
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 10 Intensify
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_intensify
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
