{{Mod
|id                               = JunMaster2ReduceGlobalFlatManaCost1
|domain                           = 9
|generation_type                  = 1
|required_level                   = 60
|name                             = Upgraded
|mod_groups                       = IncreaseFlatManaCost
|mod_type                         = IncreaseManaCostFlat
|game_mode                        = 0
|stat_text                        = -4 to Total [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = skill_mana_cost_+
|stat1_min                        = -4
|stat1_max                        = -4
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, unveiled_mod, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
