{{Mod
|id                               = SynthesisImplicitWeaponMinionDamage2
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (23-26)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 23
|stat1_max                        = 26
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
