{{Mod
|id                               = MinimumEnduranceChargeInfluence2
|mod_groups                       = MinimumEnduranceCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of the Conquest
|mod_type                         = MinimumEnduranceCharges
|stat_text                        = +2 to Minimum [[Endurance Charge|Endurance Charges]]
|stat1_id                         = base_minimum_endurance_charges
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = shield_adjudicator
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = endurance_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
