{{Mod
|id                               = ChanceToBePoisonedUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChanceToBePoisoned
|mod_type                         = ChanceToBePoisoned
|game_mode                        = 0
|stat_text                        = +25% chance to be [[Poison|Poisoned]]
|stat1_id                         = chance_to_be_poisoned_%
|stat1_min                        = 25
|stat1_max                        = 25
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
