{{Mod
|id                               = ManaPerGreenSocketUniqueRing39
|mod_groups                       = ManaPerGreenSocket
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ManaPerGreenSocket
|stat_text                        = +100 to Maximum [[Mana]] per Green [[Item socket|Socket]]
|stat1_id                         = base_maximum_mana_per_green_socket_on_item
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
