{{Mod
|id                               = LocalVaalAuraEffectUnique__1
|mod_groups                       = LocalVaalAuraEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalAuraEffect
|mod_type                         = LocalVaalAuraEffect
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] have 50% increased Aura Effect
|stat1_id                         = local_display_socketed_vaal_skills_aura_effect_+%
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = aura, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
