{{Mod
|id                               = VillageFortifyOnMeleeHit
|mod_groups                       = FortifyOnMeleeHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FortifyOnMeleeHit
|stat_text                        = Melee [[Hit|Hits]] Fortify
|stat1_id                         = chance_to_fortify_on_melee_hit_+%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = village_runesmithing_enchant, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
