{{Mod
|id                               = EinharMasterMinionMovementSpeed1
|mod_groups                       = MinionMovementSpeed
|domain                           = 9
|generation_type                  = 2
|required_level                   = 30
|name                             = of Craft
|mod_type                         = MinionRunSpeed
|stat_text                        = [[Minion|Minions]] have (13-17)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 13
|stat1_max                        = 17
|tags                             = speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
