{{Mod
|id                               = EnemiesExplodeOnKillUnhingedUnique__1_
|mod_groups                       = EnemiesExplodeOnDeath
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = EnemiesExplodeOnKillUnhinged
|stat_text                        = Enemies Killed by your [[Hit|Hits]] are destroyed while Insane
|stat1_id                         = enemies_explode_on_kill_while_unhinged
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
