{{Base item
|rarity_id                               = normal
|name                                    = Hunter's Reward
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = To tame a beast, you first must subdue its heart.
|drop_level                              = 23
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardHuntersReward
|stack_size                              = 3
|description                             = {{c|unique|{{il|html=|The Taming}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
