{{Base item
|rarity_id                               = normal
|name                                    = Tattoo of the Arohongui Makanga
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooArohongui7
|stack_size                              = 10
|help_text                               = Right click this item then left click a valid Passive Skill. Maximum 50 Tattoos.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|implicit1_text                          = {{c|default|Replaces a}} {{c|value|Small Dexterity}} {{c|default|Passive Skill}}
|implicit2_text                          = {{c|default|Requires}} {{c|value|Maximum 1}} {{c|default|adjacent Passive Skill Allocated}}
|description                             = Grants "+1% to maximum [[Cold Resistance]]"
}}
