{{Mod
|id                               = SynthesisImplicitAvoidPoison3
|mod_groups                       = ChanceToAvoidPoison
|domain                           = 1
|generation_type                  = 3
|required_level                   = 48
|mod_type                         = ChanceToAvoidPoison
|stat_text                        = (22-25)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 22
|stat1_max                        = 25
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
