{{Mod
|id                               = SynthesisImplicitAvoidFreeze1_
|mod_groups                       = AvoidFreeze
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = AvoidFreeze
|stat_text                        = (13-14)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 13
|stat1_max                        = 14
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
