{{Mod
|id                               = MinionElementalResistanceImplicitRing1
|mod_groups                       = MinionElementalResistances
|domain                           = 1
|generation_type                  = 3
|required_level                   = 32
|mod_type                         = MinionElementalResistance
|stat_text                        = [[Minion|Minions]] have +(10-15)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = minion_elemental_resistance_%
|stat1_min                        = 10
|stat1_max                        = 15
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
