{{Mod
|id                               = SanctumSpecialFreezeProliferation
|mod_groups                       = FreezeProliferation
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Wintry
|mod_type                         = FreezeProliferation
|stat_text                        = [[Freeze|Freezes]] you inflict spread to other Enemies within 1.6 metres
|stat1_id                         = gloves_freeze_proliferation_radius
|stat1_min                        = 16
|stat1_max                        = 16
|spawn_weight1_tag                = dex_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
}}
