{{Mod
|id                               = SanctumSpecialCurseEffectiveness
|mod_groups                       = CurseEffectiveness
|domain                           = 32
|generation_type                  = 1
|required_level                   = 82
|name                             = Excommunicating
|mod_type                         = CurseEffectiveness
|stat_text                        = (5-10)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
