{{Mod
|id                               = SocketedGemsLessDurationUnique__1
|mod_groups                       = SocketedGemsLessDuration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportProjectileSpellsDurationUnique
|mod_type                         = SocketedGemsLessDuration
|stat_text                        = [[Item socket|Socketed]] Projectile [[Spell|Spells]] have 80% less [[Skill]] Effect Duration
|stat1_id                         = local_display_socketed_projectile_spells_duration_+%_final
|stat1_min                        = -80
|stat1_max                        = -80
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
