{{Mod
|id                               = DelveJewelElementalPenetration1
|mod_groups                       = ElementalPenetration
|domain                           = 16
|generation_type                  = 1
|required_level                   = 1
|name                             = Subterranean
|mod_type                         = ElementalPenetration
|stat_text                        = Damage Penetrates 1% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = reduce_enemy_elemental_resistance_%
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 1600
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 1600
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
