{{Mod
|id                               = CraftedTravelSkillsCannotBeExerted
|mod_groups                       = TravelSkillsCannotBeExerted
|domain                           = 9
|generation_type                  = 2
|required_level                   = 1
|name                             = of Control
|mod_type                         = TravelSkillsCannotBeExerted
|stat_text                        = Warcries cannot Exert Travel [[Skill|Skills]]
|stat1_id                         = travel_skills_cannot_be_exerted
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
