{{Mod
|id                               = V2SocketedCurseGemCorrupted
|domain                           = 1
|generation_type                  = 5
|required_level                   = 20
|mod_groups                       = IncreaseSocketedCurseGemLevel
|mod_type                         = LocalIncreaseSocketedCurseLevelCorrupted
|game_mode                        = 0
|stat_text                        = +2 to [[Level]] of [[Item socket|Socketed]] [[Curse]] Gems
|stat1_id                         = local_socketed_curse_gem_level_+
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = armour
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster, gem, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
