{{Mod
|id                               = LeftRingSpellProjectilesForkUnique__1_
|mod_groups                       = LeftRingSpellProjectilesFork
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LeftRingSpellProjectilesFork
|stat_text                        = Left ring slot: Projectiles from [[Spell|Spells]] Fork
|stat1_id                         = local_left_ring_slot_projectiles_from_spells_fork
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
