{{Mod
|id                               = FlaskFreezeImmunityUnique__1
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskDispellChill
|mod_type                         = FlaskDispellsChill
|game_mode                        = 0
|stat_text                        = Grants Immunity to [[Chill]] for 4 seconds if used while [[Chill|Chilled]]<br />Grants Immunity to [[Freeze]] for 4 seconds if used while [[Freeze|Frozen]]
|stat1_id                         = local_flask_chill_or_freeze_immunity_if_chilled_or_frozen
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, elemental, cold, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
