{{Mod
|id                               = NecropolisChill3
|mod_groups                       = NecropolisChill
|domain                           = 36
|generation_type                  = 34
|required_level                   = 68
|mod_type                         = NecropolisChill
|stat_text                        = All Damage with [[Hit|Hits]] can [[Chill]]<br>200% increased Effect of [[Chill]]
|stat1_id                         = all_damage_can_chill
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = chill_effect_+%
|stat2_min                        = 200
|stat2_max                        = 200
|stat3_id                         = monster_necropolis_mod_value_+%
|stat3_min                        = 120
|stat3_max                        = 120
|spawn_weight1_tag                = default
|spawn_weight1_value              = 100
}}
