{{Mod
|id                               = NovaSkillsTargetLocationUnique__1__
|mod_groups                       = NovaSkillsTargetLocation
|domain                           = 1
|generation_type                  = 3
|required_level                   = 50
|mod_type                         = NovaSkillsTargetLocation
|stat_text                        = Nova [[Spell|Spells]] deal 30% less Damage to Players with [[Hit|Hits]] and Ailments<br />Nova [[Spell|Spells]] Cast at the targeted location instead of around you
|stat1_id                         = nova_spells_cast_at_target_location
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
