{{Mod
|id                               = TrapDamageUber3
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of Shaping
|mod_groups                       = TrapSupported
|granted_skill                    = SupportTrap
|mod_type                         = TrapDamageSupported
|game_mode                        = 0
|stat_text                        = (31-35)% increased [[Trap]] Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Trap Support|Level 22 Trap]]
|stat1_id                         = trap_damage_+%
|stat1_min                        = 31
|stat1_max                        = 35
|stat2_id                         = local_display_socketed_gems_get_trap_level
|stat2_min                        = 22
|stat2_max                        = 22
|spawn_weight1_tag                = gloves_shaper
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, influence_mod, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
