{{Mod
|id                               = CurseCastSpeedJewel_
|mod_groups                       = CurseCastSpeed
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Blasphemy
|mod_type                         = CurseCastSpeedForJewel
|stat_text                        = [[Curse]] [[Skill|Skills]] have (5-10)% increased [[Cast Speed]]
|stat1_id                         = curse_cast_speed_+%
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, speed, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
