{{Mod
|id                               = FlaskChargesUsedUnique___1
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = FlaskChargesUsed
|mod_type                         = FlaskChargesUsed
|game_mode                        = 0
|stat_text                        = 500% increased [[Charge|Charges]] per use
|stat1_id                         = local_charges_used_+%
|stat1_min                        = 500
|stat1_max                        = 500
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
