{{Mod
|id                               = AlwaysCritShockedEnemiesUnique__1
|mod_groups                       = AlwaysCritShockedEnemies
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AlwaysCritShockedEnemies
|stat_text                        = Always Critically Strike [[Shock|Shocked]] Enemies
|stat1_id                         = always_crit_shocked_enemies
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
