{{Mod
|id                               = EinharMasterFireAndColdResist1
|mod_groups                       = FireAndColdResistance
|domain                           = 9
|generation_type                  = 2
|required_level                   = 30
|name                             = of Craft
|mod_type                         = FireAndColdResistance
|stat_text                        = +(10-12)% to Fire and [[Cold Resistance|Cold Resistances]]
|stat1_id                         = fire_and_cold_damage_resistance_%
|stat1_min                        = 10
|stat1_max                        = 12
|tags                             = elemental, fire, cold, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
