{{Mod
|id                               = VillageExertedAttackDamage
|mod_groups                       = ExertedAttackDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ExertedAttackDamage
|stat_text                        = Exerted [[Attack|Attacks]] deal (80-100)% increased Damage
|stat1_id                         = empowered_attack_damage_+%
|stat1_min                        = 80
|stat1_max                        = 100
|tags                             = village_runesmithing_enchant, damage, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
