{{Mod
|id                               = PhysTakenAsChaosInfluence1_
|mod_groups                       = PhysicalDamageTakenAsElement
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Hunter's
|mod_type                         = PhysicalDamageTakenAsChaosUber
|stat_text                        = (5-10)% of [[Physical Damage]] from [[Hit|Hits]] taken as [[Chaos Damage]]
|stat1_id                         = physical_damage_taken_%_as_chaos
|stat1_min                        = 5
|stat1_max                        = 10
|spawn_weight1_tag                = body_armour_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical, chaos
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
