{{Mod
|id                               = AfflictionJewelSmallPassivesGrantMana3
|mod_groups                       = AfflictionJewelSmallPassivesGrantMana
|domain                           = 21
|generation_type                  = 1
|required_level                   = 84
|name                             = Azure
|mod_type                         = AfflictionJewelSmallPassivesGrantMana
|stat_text                        = Added Small Passive [[Skill|Skills]] also grant: +(9-10) to Maximum [[Mana]]
|stat1_id                         = local_affliction_jewel_small_nodes_grant_maximum_mana
|stat1_min                        = 9
|stat1_max                        = 10
|spawn_weight1_tag                = expansion_jewel_large
|spawn_weight1_value              = 300
|spawn_weight2_tag                = expansion_jewel_medium
|spawn_weight2_value              = 300
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, mana
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
