{{Mod
|id                               = DamageWithMovementSkillsUniqueBodyDex5
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = DamageWithMovementSkills
|mod_type                         = DamageWithMovementSkills
|game_mode                        = 0
|stat_text                        = (60-100)% increased Damage with Movement [[Skill|Skills]]
|stat1_id                         = damage_+%_with_movement_skills
|stat1_min                        = 60
|stat1_max                        = 100
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
