{{Mod
|id                               = SynthesisImplicitAvoidShock2_
|mod_groups                       = AvoidShock
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = AvoidShock
|stat_text                        = (15-17)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 15
|stat1_max                        = 17
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
