{{Mod
|id                               = SynthesisImplicitVaalSkillDamage2
|mod_groups                       = VaalSkillDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_type                         = VaalSkillDamage
|stat_text                        = (17-21)% increased Damage with Vaal [[Skill|Skills]]
|stat1_id                         = vaal_skill_damage_+%
|stat1_min                        = 17
|stat1_max                        = 21
|tags                             = damage, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
