{{Mod
|id                               = SynthesisImplicitSpellAddedFireDamage3
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 24
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (10-13) to (17-22) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 10
|stat1_max                        = 13
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 17
|stat2_max                        = 22
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
