{{Mod
|id                               = ChanceToBeCritJewelUnique__1
|mod_groups                       = ChanceToTakeCriticalStrike
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToTakeCriticalStrike
|stat_text                        = [[Hit|Hits]] have (140-200)% increased [[Critical Strike Chance]] against you
|stat1_id                         = enemy_critical_strike_chance_+%_against_self_20_times_value
|stat1_min                        = 7
|stat1_max                        = 10
|tags                             = critical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
