{{Mod
|id                               = AllResistances6
|mod_groups                       = AllResistances
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of the Span
|mod_type                         = AllResistances
|stat_text                        = +(17-18)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 17
|stat1_max                        = 18
|spawn_weight1_tag                = shield
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
