{{Base item
|rarity_id                               = normal
|name                                    = Divine Justice
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Many sought the Goddess' blessing. Few survived the Labyrinth to receive it.
|drop_level                              = 56
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardDivineJustice
|stack_size                              = 1
|description                             = {{c|unique|[[Helmet]]}}<br>{{c|enchanted|Eternal Labyrinth Enchantment}}
|stack_size_currency_tab                 = 5000
}}
