{{Mod
|id                               = GrantsHighLevelSnipeSupportUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = Supported
|granted_skill                    = ChannelledSnipeSupport
|mod_type                         = GrantsSnipeSkillSupport
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Non-Channelling [[Bow]] [[Skill|Skills]] are Triggered by Snipe<br />Socketed Triggered [[Bow]] [[Skill|Skills]] gain a 0.05 second Cooldown
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_snipe
|stat1_min                        = 30
|stat1_max                        = 30
|tags                             = support, gem
}}
