{{Mod
|id                               = HellscapeUpsideMinionLifeLeech4___
|mod_groups                       = MinionLifeLeech
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = MinionLifeLeech
|stat_text                        = [[Minion|Minions]] [[Leech]] (0.6-0.7)% of Damage as [[Life]]
|stat1_id                         = minion_life_leech_from_any_damage_permyriad
|stat1_min                        = 60
|stat1_max                        = 70
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
