{{Mod
|id                               = AdditionalArrowBow2_
|mod_groups                       = AdditionalArrows
|domain                           = 1
|generation_type                  = 2
|required_level                   = 86
|name                             = of Many
|mod_type                         = AdditionalArrows
|stat_text                        = [[Bow]] [[Attack|Attacks]] fire 2 additional Arrows
|stat1_id                         = base_number_of_additional_arrows
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
