{{Mod
|id                               = VaalSoulsOnRampageUniqueGlovesStrDex5
|mod_groups                       = VaalSoulsOnRampage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AdditionalVaalSoulOnRampage
|stat_text                        = [[Kill|Kills]] grant an additional Vaal Soul if you have Rampaged [[Recently]]
|stat1_id                         = gain_an_additional_vaal_soul_on_kill_if_have_rampaged_recently
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
