{{Mod
|id                               = AttacksCostNoManaUniqueTwoHandAxe9
|mod_groups                       = AttacksCostNoMana
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AttacksCostNoMana
|stat_text                        = Your [[Attack|Attacks]] do not cost [[Mana]]
|stat1_id                         = attacks_do_not_cost_mana
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, mana, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
