{{Mod
|id                               = ReservationEfficiencyUnique__3__
|mod_groups                       = ReducedManaReservationsCost
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ReservationEfficiency
|stat_text                        = 12% increased Reservation Efficiency of [[Skill|Skills]]
|stat1_id                         = base_reservation_efficiency_+%
|stat1_min                        = 12
|stat1_max                        = 12
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
