{{Mod
|id                               = AbyssAvoidShockJewel2
|mod_groups                       = ReducedShockChance
|domain                           = 13
|generation_type                  = 2
|required_level                   = 70
|name                             = of the Lightning Rod
|mod_type                         = AvoidShockForJewel
|stat_text                        = (41-50)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 41
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 150
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
