{{Mod
|id                               = ChaosDamagePoisonsUniqueDagger10
|mod_groups                       = ChaosDamagePoisons
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChaosDamagePoisons
|stat_text                        = Your [[Chaos Damage]] [[Poison|Poisons]] Enemies
|stat1_id                         = chaos_damage_poisons
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
