{{Mod
|id                               = WeaponTreeSupportSecondWind2H
|mod_groups                       = WeaponTreeSupportSecondWind
|domain                           = 1
|generation_type                  = 31
|required_level                   = 38
|granted_skill                    = SupportAdditionalCooldown
|mod_type                         = WeaponTreeSupportSecondWind
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 25 Second Wind
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_second_wind
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
