{{Mod
|id                               = FlaskElementalResistancesUniqueFlask1_
|mod_groups                       = FlaskElementalResistances
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskElementalResistances
|stat_text                        = +10% to [[Elemental Resistance|Elemental Resistances]] during Effect
|stat1_id                         = local_unique_flask_resist_all_elements_%_during_flask_effect
|stat1_min                        = 10
|stat1_max                        = 10
|tags                             = flask, elemental, resistance
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
