{{Mod
|id                               = EinharMasterMinionLife1
|mod_groups                       = MinionLife
|domain                           = 9
|generation_type                  = 2
|required_level                   = 40
|name                             = of Craft
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (11-15)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 11
|stat1_max                        = 15
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
