{{Mod
|id                               = SynthesisImplicitAllResist1__
|mod_groups                       = AllResistances
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = AllResistances
|stat_text                        = +(3-4)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 3
|stat1_max                        = 4
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
