{{Mod
|id                               = AbyssMinionElementalResistancesJewel1
|mod_groups                       = MinionElementalResistances
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Acclimatisation
|mod_type                         = MinionElementalResistancesForJewel
|stat_text                        = [[Minion|Minions]] have +(6-10)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = minion_elemental_resistance_%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
