{{Mod
|id                               = DamageOnRareMonstersUniqueBelt7
|mod_groups                       = DamageOnRareMonsters
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageOnRareMonsters
|stat_text                        = (20-30)% increased Damage with [[Hit|Hits]] against Rare monsters
|stat1_id                         = damage_+%_vs_rare_monsters
|stat1_min                        = 20
|stat1_max                        = 30
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
