{{Mod
|id                               = SocketedGemsProjectilesNovaUnique__1
|mod_groups                       = DisplaySocketedGemsNova
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportSpellsProjectilesNovaUnique
|mod_type                         = DisplaySocketedSpellsNova
|stat_text                        = [[Item socket|Socketed]] Projectile [[Spell|Spells]] fire Projectiles in a circle
|stat1_id                         = local_display_socketed_spells_projectiles_circle
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
