{{Mod
|id                               = SynthesisImplicitTotalManaCost1_
|mod_groups                       = IncreaseFlatManaCost
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = IncreaseManaCostFlat
|stat_text                        = -1 to Total [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = skill_mana_cost_+
|stat1_min                        = -1
|stat1_max                        = -1
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
