{{Mod
|id                               = StrDexMasterBabyFacebreakersCrafted
|mod_groups                       = FacebreakerPhysicalUnarmedDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 25
|name                             = Brass-knuckle
|mod_type                         = FacebreakerPhysicalUnarmedDamage
|stat_text                        = (450-600)% more [[Physical Damage]] with Unarmed Melee [[Attack|Attacks]]
|stat1_id                         = unique_facebreaker_unarmed_melee_physical_damage_+%_final
|stat1_min                        = 450
|stat1_max                        = 600
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
