{{Mod
|id                               = AbyssJewelSocketUnique__17
|mod_groups                       = AbyssJewelSocket
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AbyssJewelSocket
|stat_text                        = Has 4 Abyssal [[Item socket|Sockets]]
|stat1_id                         = local_has_X_abyss_sockets
|stat1_min                        = 4
|stat1_max                        = 4
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
