{{Passive skill
|id                                  = physical_damage_notable1754
|int_id                              = 47065
|name                                = Master of Blades
|is_notable                          = True
|icon                                = MasterofForce
|stat1_id                            = physical_damage_+%
|stat1_value                         = 30
|stat2_id                            = base_strength
|stat2_value                         = 30
|stat3_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat3_value                         = 30
|stat_text                           = 30% increased [[Physical Damage]]<br>+30 to [[Strength]]<br>[[Hit|Hits]] have 30% chance to ignore Enemy [[Physical Damage]] Reduction
|connections                         = physical_damage1752,mastery_physical196
}}
