{{Base item
|rarity_id                               = normal
|name                                    = Costly Curio
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Oh no, I couldn't possibly afford this fine artefact. I'm... just looking."
|drop_level                              = 80
|tags                                    = unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardCostlyCurio
|stack_size                              = 6
|description                             = {{c|unique|Item}}<br>{{c|default|Double-Influenced Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
