{{Mod
|id                               = SynthesisImplicitMinionDamage4
|mod_groups                       = MinionDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (13-14)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 13
|stat1_max                        = 14
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
