{{Mod
|id                               = GrandmasterManaReservation2
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ReducedManaReservationsCost
|mod_type                         = GrandmasterManaReservation
|game_mode                        = 0
|stat_text                        = 10% reduced Reservation of [[Skill|Skills]] (Hidden)
|stat1_id                         = base_reservation_+%
|stat1_min                        = -10
|stat1_max                        = -10
|tags                             = resource, mana
}}
