{{Mod
|id                               = DamageOnMagicMonstersUnique__1_
|mod_groups                       = DamageOnMagicMonsters
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageOnMagicMonsters
|stat_text                        = (20-30)% increased Damage with [[Hit|Hits]] against Magic monsters
|stat1_id                         = damage_+%_vs_magic_monsters
|stat1_min                        = 20
|stat1_max                        = 30
|tags                             = damage
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
